timestamp,event_type,status,details
2025-10-22 13:31:16.113437,Manual Override,Force Heal,Supervisor-initiated action
2025-10-22 14:05:38.620178,Manual Override,Force Restart,Supervisor-initiated action
2025-10-22 14:06:00.075045,Manual Override,Force Heal,Supervisor-initiated action
